sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Espece,Gen_ZONE,Raw
Pb_0154,111362,1755922,15.768,18.616,Pb,SFA-13,8583227
Pb_0155,126632,1222616,9.655,11.914,Pb,SFA-13,6250169
Pb_0157,119303,974878,8.171,9.816,Pb,SFA-15,5253724
Pb_0159,144245,1493658,10.355,13.681,Pb,SFA-15,7748669
Pb_0162,147056,2130845,14.49,19.9,Pb,SFA-15,11035397
Pb_0164,142129,2178074,15.325,19.744,Pb,SFA-15,12276578
Pb_0165,131994,1767076,13.388,16.765,Pb,SFA-15,8977068
Pb_0166,89124,463544,5.201,5.763,Pb,SFA-15,2378043
Pb_0168,127519,2074290,16.267,20.876,Pb,SFA-15,10495384
Pb_0169,157226,2053942,13.064,17.927,Pb,SFA-15,10529209
Pb_0170,148607,1556560,10.474,14.34,Pb,SFA-15,8201560
Pb_0173,132664,1739188,13.11,16.087,Pb,SFA-15,8996629
Pb_0174,119523,1074083,8.986,10.707,Pb,SFA-15,5631340
Pb_0177,137246,2480290,18.072,23.244,Pb,SFA-15,13725602
Pb_0179,101766,539215,5.299,5.984,Pb,SFA-15,2767529
Pb_0180,100610,1886700,18.753,22.606,Pb,SFA-15,9419795
Pb_0181,120878,946889,7.833,9.361,Pb,SFA-15,5357207
Pb_0182,143737,1671335,11.628,15.023,Pb,SFA-15,8922798
Pb_0183,130588,1602145,12.269,15.092,Pb,SFA-15,8356370
Pb_0184,132003,1650934,12.507,15.488,Pb,SFA-15,8474251
Pb_0185,117951,1572389,13.331,16.845,Pb,SFA-15,8670884
Pb_0188,138988,3016390,21.703,28.234,Pb,SFA-15,15974252
Pb_0190,129265,2004861,15.51,19.047,Pb,SFA-15,10958214
Pb_0191,111456,881636,7.91,9.08,Pb,SFA-15,4627936
Pb_0192,134141,1629813,12.15,15.221,Pb,SFA-15,8711610
Pb_0194,131813,1510876,11.462,14.408,Pb,SFA-15,7884299
Pb_0195,136515,1619930,11.866,15.224,Pb,SFA-15,8786891
